,cluster
nucleus_SpatialMoment_0_3,223
nucleus_SpatialMoment_1_0,224
nucleus_SpatialMoment_1_1,224
nucleus_SpatialMoment_1_2,223
nucleus_SpatialMoment_1_3,223
nucleus_SpatialMoment_2_0,212
nucleus_SpatialMoment_2_1,212
nucleus_SpatialMoment_2_2,223
nucleus_SpatialMoment_2_3,223
nucleus_CentralMoment_0_0,217
nucleus_CentralMoment_0_2,224
nucleus_CentralMoment_0_3,58
nucleus_CentralMoment_1_1,214
nucleus_CentralMoment_1_2,213
nucleus_CentralMoment_1_3,214
nucleus_CentralMoment_2_0,224
nucleus_CentralMoment_2_1,213
nucleus_CentralMoment_2_2,212
nucleus_CentralMoment_2_3,213
nucleus_NormalizedMoment_0_2,24
nucleus_NormalizedMoment_0_3,59
nucleus_NormalizedMoment_1_1,216
nucleus_NormalizedMoment_1_2,56
nucleus_NormalizedMoment_1_3,57
nucleus_NormalizedMoment_2_0,23
nucleus_NormalizedMoment_2_1,55
nucleus_NormalizedMoment_2_2,54
nucleus_NormalizedMoment_2_3,54
nucleus_NormalizedMoment_3_0,54
nucleus_NormalizedMoment_3_1,54
nucleus_NormalizedMoment_3_2,54
nucleus_NormalizedMoment_3_3,54
nucleus_HuMoment_0,100
nucleus_HuMoment_1,100
nucleus_HuMoment_2,54
nucleus_HuMoment_3,54
nucleus_HuMoment_4,54
nucleus_HuMoment_5,54
nucleus_HuMoment_6,54
nucleus_InertiaTensor_0_0,220
nucleus_InertiaTensor_0_1,215
nucleus_InertiaTensor_1_0,215
nucleus_InertiaTensor_1_1,219
nucleus_InertiaTensorEigenvalues_0,219
nucleus_InertiaTensorEigenvalues_1,217
nucleus_PerimeterCrofton,219
nucleus_Zernike_0_0,104
nucleus_Zernike_1_1,119
nucleus_Zernike_2_0,75
nucleus_Zernike_2_2,106
nucleus_Zernike_3_1,88
nucleus_Zernike_3_3,68
nucleus_Zernike_4_0,107
nucleus_Zernike_4_2,102
nucleus_Zernike_4_4,110
nucleus_Zernike_5_1,120
nucleus_Zernike_5_3,122
nucleus_Zernike_5_5,69
nucleus_Zernike_6_0,71
nucleus_Zernike_6_2,73
nucleus_Zernike_6_4,124
nucleus_Zernike_6_6,77
nucleus_Zernike_7_1,114
nucleus_Zernike_7_3,84
nucleus_Zernike_7_5,112
nucleus_Zernike_7_7,67
nucleus_Zernike_8_0,47
nucleus_Zernike_8_2,61
nucleus_Zernike_8_4,109
nucleus_Zernike_8_6,97
nucleus_Zernike_8_8,78
nucleus_Zernike_9_1,116
nucleus_Zernike_9_3,118
nucleus_Zernike_9_5,80
nucleus_Zernike_9_7,82
nucleus_Zernike_9_9,65
nucleus_MinFeretDiameter,217
nucleus_MaxFeretDiameter,219
nucleus_AngularSecondMoment_3_00_256,259
nucleus_Contrast_3_00_256,256
nucleus_Correlation_3_00_256,241
nucleus_Variance_3_00_256,257
nucleus_InverseDifferenceMoment_3_00_256,258
nucleus_SumAverage_3_00_256,260
nucleus_SumVariance_3_00_256,257
nucleus_SumEntropy_3_00_256,259
nucleus_Entropy_3_00_256,259
nucleus_DifferenceVariance_3_00_256,254
nucleus_DifferenceEntropy_3_00_256,258
nucleus_InfoMeas1_3_00_256,242
nucleus_InfoMeas2_3_00_256,242
nucleus_AngularSecondMoment_3_01_256,259
nucleus_Contrast_3_01_256,256
nucleus_Correlation_3_01_256,241
nucleus_Variance_3_01_256,257
nucleus_InverseDifferenceMoment_3_01_256,258
nucleus_SumAverage_3_01_256,260
nucleus_SumVariance_3_01_256,257
nucleus_SumEntropy_3_01_256,259
nucleus_Entropy_3_01_256,259
nucleus_DifferenceVariance_3_01_256,254
nucleus_DifferenceEntropy_3_01_256,258
nucleus_InfoMeas1_3_01_256,242
nucleus_InfoMeas2_3_01_256,242
nucleus_AngularSecondMoment_3_02_256,259
nucleus_Contrast_3_02_256,256
nucleus_Correlation_3_02_256,241
nucleus_Variance_3_02_256,257
nucleus_InverseDifferenceMoment_3_02_256,258
nucleus_SumAverage_3_02_256,260
nucleus_SumVariance_3_02_256,257
nucleus_SumEntropy_3_02_256,259
nucleus_Entropy_3_02_256,259
nucleus_DifferenceVariance_3_02_256,254
nucleus_DifferenceEntropy_3_02_256,258
nucleus_InfoMeas1_3_02_256,242
nucleus_InfoMeas2_3_02_256,242
nucleus_AngularSecondMoment_3_03_256,259
nucleus_Contrast_3_03_256,256
nucleus_Correlation_3_03_256,241
nucleus_Variance_3_03_256,257
nucleus_InverseDifferenceMoment_3_03_256,258
nucleus_SumAverage_3_03_256,260
nucleus_SumVariance_3_03_256,257
nucleus_SumEntropy_3_03_256,259
nucleus_Entropy_3_03_256,259
nucleus_DifferenceVariance_3_03_256,254
nucleus_DifferenceEntropy_3_03_256,258
nucleus_InfoMeas1_3_03_256,242
nucleus_InfoMeas2_3_03_256,242
nucleus_Granularity_1,209
nucleus_Granularity_2,231
nucleus_Granularity_3,126
nucleus_Granularity_4,201
nucleus_Granularity_5,232
nucleus_Granularity_6,234
nucleus_Granularity_7,233
nucleus_Granularity_8,235
nucleus_Granularity_9,236
nucleus_Granularity_10,210
nucleus_Granularity_11,211
nucleus_Granularity_12,43
nucleus_Granularity_13,45
nucleus_Granularity_14,44
nucleus_Granularity_15,42
nucleus_Granularity_16,41
cytoplasm_nucleoplasm_Correlation_Pearson,249
cytoplasm_nucleoplasm_Correlation_Slope,249
cytoplasm_nucleoli_Correlation_Pearson,271
cytoplasm_nucleoli_Correlation_Slope,271
cytoplasm_lipid_Correlation_Pearson,268
cytoplasm_lipid_Correlation_Slope,268
nucleoplasm_nucleoli_Correlation_Pearson,272
nucleoplasm_nucleoli_Correlation_Slope,272
nucleoplasm_lipid_Correlation_Pearson,266
nucleoplasm_lipid_Correlation_Slope,269
nucleoli_lipid_Correlation_Pearson,266
nucleoli_lipid_Correlation_Slope,269
